id,summary_score_orig_gpt,summary_score_orig_llama,summary_score_inf_gpt,summary_score_inf_llama
64,0.8,0.8,0.9166666666666666,0.8
81,0.2,0.2,0.2,0.0
43,0.4,0.4,0.6153846153846154,0.0
0,0.6,0.4,0.6,0.6
33,0.4,0.4,0.8,0.8
45,0.2,0.4,0.6,0.6
17,0.0,0.2,0.2,0.0
8,0.6,0.75,0.4,0.0
98,0.2,0.6,0.4,0.4
26,0.4,0.4,0.0,0.4
14,0.6,0.5714285714285714,0.6,0.6
50,0.6,0.8,0.4,0.8
2,0.6,0.4,0.4,0.4
72,0.8,0.8,0.4,0.75
85,0.6,0.4,0.6,0.8
268862,0.6,0.6,0.8,0.6
218458,0.6,0.6,0.4,0.6
70558,0.0,0.2,0.6,0.6
3823,0.2,0.2,0.2,0.4
203126,0.75,0.2,0.4,0.4
115445,0.4,0.4,0.4,0.8
177588,0.6,0.625,0.4,0.4
244030,0.4,0.2,0.6,0.4
227862,1.0,0.8,0.8,0.6666666666666666
141213,0.6,0.6,0.8,0.8333333333333334
284196,0.2,0.6363636363636364,0.2,0.75
176102,0.6,0.4,0.4,0.6
191906,0.4,0.6,0.4,0.6
15789,0.8,0.5384615384615384,0.6,0.6
70761,0.2,0.8,0.4,0.2
